Pattern,ItemIDs,Utility,Size
OP_CARRIER_FL_NUM=371.0 + ORIGIN_INDEX=FLL + OP_CARRIER=NK + DEST_INDEX=EWR + O_LONGITUDE=High + D_WSPD=VeryLow + FL_WEEK=3 + D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh,"[81, 991, 10, 1136, 1291, 1278, 934, 1302, 1246, 1296, 1251, 1267]",11732,12
DEST_INDEX=MSP + ORIGIN_INDEX=MIA + O_LONGITUDE=High + CRS_ARR_TIME_MIN=VeryLow + D_LATITUDE=VeryHigh + D_WSPD=Low + OP_CARRIER=AA + O_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1186, 1032, 1291, 1243, 1297, 1279, 2, 1257, 1252, 1242]",11732,10
CRS_ARR_TIME_MIN=Mid + D_LONGITUDE=VeryHigh + O_LATITUDE=High,"[1245, 1302, 1286]",11731,3
OP_CARRIER=B6 + FL_WEEK=2 + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[4, 933, 1302, 1292]",11731,4
OP_CARRIER_FL_NUM=2566.0 + O_TEMP=Low + DEST_INDEX=DTW + ORIGIN_INDEX=EWR + D_LATITUDE=VeryHigh + OP_CARRIER=DL + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[500, 1254, 1130, 988, 1297, 5, 1286, 1292]",11730,8
OP_CARRIER_FL_NUM=5744.0 + DEST_INDEX=LGA + FL_DAY=20 + FL_WEEK=3 + O_WSPD=High + D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[889, 1170, 920, 934, 1266, 1302, 1296, 1292]",11730,8
CRS_DEP_TIME_MIN=Mid + OP_CARRIER=DL + CRS_ARR_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1240, 5, 1246, 1292]",11730,4
OP_CARRIER_FL_NUM=3079.0 + ORIGIN_INDEX=MCI + DEST_INDEX=DEN + FL_DAY=18 + O_PRCP=VeryLow + D_WSPD=VeryHigh + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[560, 1026, 1127, 918, 1258, 1282, 1267, 1247, 1242, 1286]",11729,10
OP_CARRIER_FL_NUM=3440.0 + DEST_INDEX=EWR + FL_WEEK=2 + O_WSPD=High + O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[600, 1136, 933, 1266, 1287, 1302, 1296, 1242, 1292]",11729,9
OP_CARRIER_FL_NUM=5411.0 + ORIGIN_INDEX=LAX + D_LONGITUDE=VeryLow + O_PRCP=VeryLow + D_WSPD=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[844, 1017, 1298, 1258, 1282, 1296, 1242]",11729,7
D_LATITUDE=Mid + D_WSPD=Low + FL_WEEK=2 + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1295, 1279, 933, 1247, 1242, 1292]",11729,6
O_TEMP=VeryHigh + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1257, 1251, 1267, 1247, 1242]",11728,5
OP_CARRIER_FL_NUM=3596.0 + ORIGIN_INDEX=EWR + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[632, 988, 1246, 1296, 1267, 1286, 1292]",11727,7
CRS_ELAPSED_TIME=Mid + CRS_DEP_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1250, 1241, 1292]",11726,3
ORIGIN_INDEX=DFW + O_PRCP=VeryLow + OP_CARRIER=AA + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_ELAPSED_TIME=VeryHigh,"[982, 1258, 2, 1302, 1296, 1252]",11726,6
DEST_INDEX=JFK + ORIGIN_INDEX=DFW + O_PRCP=VeryLow + OP_CARRIER=AA + D_LONGITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + O_WSPD=VeryHigh,"[1163, 982, 1258, 2, 1302, 1252, 1267]",11726,7
DEST_INDEX=BUF + D_WSPD=High + OP_CARRIER=B6 + FL_WEEK=3 + O_PRCP=VeryLow + D_LONGITUDE=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1111, 1281, 4, 934, 1258, 1302, 1286, 1292]",11726,8
DEST_INDEX=BUF + OP_CARRIER=B6 + FL_WEEK=3 + O_PRCP=VeryLow + D_LONGITUDE=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1111, 4, 934, 1258, 1302, 1286, 1292]",11725,7
O_LONGITUDE=High + D_LATITUDE=VeryHigh + OP_CARRIER=AA + O_TEMP=VeryHigh + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1291, 1297, 2, 1257, 1251, 1272, 1247, 1242]",11725,8
OP_CARRIER_FL_NUM=4942.0 + OP_CARRIER=9E + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + D_LATITUDE=High + CRS_ARR_TIME_MIN=VeryHigh,"[779, 1, 1302, 1241, 1296, 1247]",11724,6
OP_CARRIER_FL_NUM=371.0 + ORIGIN_INDEX=FLL + OP_CARRIER=NK + DEST_INDEX=EWR + O_LONGITUDE=High + FL_WEEK=3 + D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh,"[81, 991, 10, 1136, 1291, 934, 1302, 1246, 1296, 1251, 1267]",11724,11
ORIGIN_INDEX=LGA + O_TEMP=VeryLow + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1020, 1253, 1247, 1242]",11723,4
DEST_INDEX=BUF + D_WSPD=High + OP_CARRIER=B6 + O_PRCP=VeryLow + D_LONGITUDE=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1111, 1281, 4, 1258, 1302, 1286, 1292]",11722,7
DEST_INDEX=BUF + OP_CARRIER=B6 + O_PRCP=VeryLow + D_LONGITUDE=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1111, 4, 1258, 1302, 1286, 1292]",11721,6
OP_CARRIER_FL_NUM=5411.0 + ORIGIN_INDEX=LAX + D_LONGITUDE=VeryLow + FL_DAY=19 + O_PRCP=VeryLow + O_WSPD=High + D_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[844, 1017, 1298, 919, 1258, 1266, 1282, 1242]",11720,8
D_LONGITUDE=VeryLow + OP_CARRIER=AA + O_TEMP=VeryHigh + D_WSPD=VeryHigh + CRS_ELAPSED_TIME=VeryHigh,"[1298, 2, 1257, 1282, 1252]",11720,5
O_LATITUDE=VeryHigh + D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1287, 1282, 1247, 1242]",11719,4
O_LATITUDE=Mid + ORIGIN_INDEX=DCA + D_WSPD=VeryLow + D_PRCP=VeryLow + FL_WEEK=3 + OP_CARRIER=AA + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1285, 980, 1278, 1273, 934, 2, 1246, 1251, 1272, 1292]",11717,10
FL_WEEK=2 + O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[933, 1266, 1247, 1242, 1286, 1292]",11717,6
OP_CARRIER_FL_NUM=2595.0 + ORIGIN_INDEX=ECP + DEST_INDEX=ATL + OP_CARRIER=DL + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + D_TEMP=VeryHigh + O_WSPD=VeryHigh,"[502, 985, 1099, 5, 1287, 1253, 1241, 1246, 1272, 1267]",11717,10
O_TEMP=Low + DEST_INDEX=DTW + ORIGIN_INDEX=EWR + CRS_ELAPSED_TIME=Mid + OP_CARRIER=DL + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1254, 1130, 988, 1250, 5, 1286, 1292]",11717,7
D_PRCP=VeryLow + FL_WEEK=2 + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1273, 933, 1286, 1292]",11717,4
ORIGIN_INDEX=PHL + OP_CARRIER=B6 + D_LATITUDE=VeryHigh + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1048, 4, 1297, 1253, 1302, 1241, 1246, 1286, 1292]",11716,9
OP_CARRIER_FL_NUM=5411.0 + FL_DAY=19 + O_PRCP=VeryLow + FL_WEEK=1 + O_WSPD=High + D_WSPD=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[844, 919, 1258, 932, 1266, 1282, 1296, 1242]",11716,8
ORIGIN_INDEX=MIA + O_LONGITUDE=High + OP_CARRIER=DL + O_WSPD=High + O_TEMP=VeryHigh + D_WSPD=VeryHigh + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1032, 1291, 5, 1266, 1257, 1282, 1272, 1252, 1247, 1242]",11716,10
OP_CARRIER=9E + O_PRCP=VeryLow + O_TEMP=VeryLow + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1, 1258, 1253, 1247, 1292]",11716,5
D_WSPD=Low + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1279, 1242, 1286]",11715,3
ORIGIN_INDEX=MCO + FL_DAY=20 + O_LONGITUDE=High + O_TEMP=VeryHigh + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1027, 920, 1291, 1257, 1302, 1296, 1251, 1267, 1247, 1242]",11715,10
ORIGIN_INDEX=MCO + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[1027, 1302, 1296, 1242]",11714,4
OP_CARRIER_FL_NUM=3974.0 + FL_DAY=20 + O_LONGITUDE=High + FL_WEEK=1 + O_TEMP=VeryHigh + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[687, 920, 1291, 932, 1257, 1302, 1296, 1251, 1267, 1247, 1242]",11714,11
ORIGIN_INDEX=JFK + O_WSPD=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1014, 1267, 1242]",11713,3
OP_CARRIER_FL_NUM=5744.0 + D_WSPD=VeryLow + FL_WEEK=3 + O_WSPD=High + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[889, 1278, 934, 1266, 1253, 1302, 1296, 1292]",11713,8
OP_CARRIER_FL_NUM=3791.0 + OP_CARRIER=F9 + O_LATITUDE=VeryHigh + D_WSPD=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[663, 6, 1287, 1282, 1241, 1246, 1251, 1272, 1292]",11713,9
OP_CARRIER_FL_NUM=3596.0 + ORIGIN_INDEX=EWR + D_TEMP=High + FL_WEEK=3 + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[632, 988, 1271, 934, 1241, 1246, 1286, 1292]",11713,8
OP_CARRIER=9E + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + D_LATITUDE=High,"[1, 1302, 1241, 1296]",11713,4
OP_CARRIER_FL_NUM=371.0 + ORIGIN_INDEX=FLL + OP_CARRIER=NK + DEST_INDEX=EWR + O_LONGITUDE=High + D_WSPD=VeryLow + D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh,"[81, 991, 10, 1136, 1291, 1278, 1302, 1246, 1296, 1251, 1267]",11712,11
ORIGIN_INDEX=MIA + OP_CARRIER=DL + O_WSPD=High + O_TEMP=VeryHigh + D_WSPD=VeryHigh + D_LATITUDE=High + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1032, 5, 1266, 1257, 1282, 1296, 1272, 1252, 1247, 1242]",11712,10
D_PRCP=VeryLow + FL_WEEK=2 + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1273, 933, 1302, 1292]",11712,4
OP_CARRIER_FL_NUM=4747.0 + ORIGIN_INDEX=BWI + DEST_INDEX=FLL + D_TEMP=High + D_PRCP=VeryLow + FL_WEEK=3 + O_WSPD=High + O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[755, 964, 1144, 1271, 1273, 934, 1266, 1257, 1246, 1251, 1286, 1292]",11712,12
O_LONGITUDE=High + OP_CARRIER=DL + CRS_ELAPSED_TIME=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1291, 5, 1252, 1242]",11711,4
DEST_INDEX=CLE + ORIGIN_INDEX=LGA + O_LONGITUDE=VeryHigh,"[1119, 1020, 1292]",11710,3
OP_CARRIER_FL_NUM=5799.0 + DEST_INDEX=BWI + ORIGIN_INDEX=BOS + CRS_DEP_TIME_MIN=Mid + FL_DAY=21 + D_LATITUDE=Mid + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[894, 1113, 958, 1240, 921, 1295, 1287, 1253, 1302, 1292]",11709,10
OP_CARRIER_FL_NUM=3791.0 + D_LONGITUDE=High + DEST_INDEX=MCO + OP_CARRIER=F9 + FL_WEEK=1 + O_LATITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[663, 1301, 1177, 6, 932, 1287, 1241, 1246, 1251, 1272, 1292]",11708,11
ORIGIN_INDEX=MIA + O_LONGITUDE=High + OP_CARRIER=DL + O_TEMP=VeryHigh + D_WSPD=VeryHigh + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1032, 1291, 5, 1257, 1282, 1272, 1252, 1247, 1242]",11708,9
DEST_INDEX=BUF + ORIGIN_INDEX=JFK + OP_CARRIER=B6 + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1111, 1014, 4, 1302, 1292]",11708,5
ORIGIN_INDEX=PHL + OP_CARRIER=B6 + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1048, 4, 1253, 1302, 1241, 1246, 1286, 1292]",11708,8
CRS_DEP_TIME_MIN=Mid + CRS_ARR_TIME_MIN=Mid + O_WSPD=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1240, 1245, 1266, 1272, 1292]",11707,5
FL_WEEK=3 + O_TEMP=VeryHigh + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[934, 1257, 1272, 1292]",11706,4
D_WSPD=Low + CRS_ELAPSED_TIME=High + O_LATITUDE=High,"[1279, 1251, 1286]",11705,3
OP_CARRIER_FL_NUM=5744.0 + DEST_INDEX=LGA + FL_WEEK=3 + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[889, 1170, 934, 1253, 1302, 1296, 1292]",11705,7
ORIGIN_INDEX=PHL + O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1048, 1266, 1247, 1292]",11705,4
OP_CARRIER_FL_NUM=371.0 + ORIGIN_INDEX=FLL + OP_CARRIER=NK + DEST_INDEX=EWR + O_LONGITUDE=High + D_LONGITUDE=VeryHigh + CRS_ARR_TIME_MIN=High + D_LATITUDE=High + CRS_ELAPSED_TIME=High + O_WSPD=VeryHigh,"[81, 991, 10, 1136, 1291, 1302, 1246, 1296, 1251, 1267]",11704,10
ORIGIN_INDEX=MIA + OP_CARRIER=DL + O_TEMP=VeryHigh + D_WSPD=VeryHigh + D_LATITUDE=High + D_TEMP=VeryHigh + CRS_ELAPSED_TIME=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1032, 5, 1257, 1282, 1296, 1272, 1252, 1247, 1242]",11704,9
OP_CARRIER_FL_NUM=4747.0 + ORIGIN_INDEX=BWI + DEST_INDEX=FLL + D_TEMP=High + D_PRCP=VeryLow + O_WSPD=High + O_TEMP=VeryHigh + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[755, 964, 1144, 1271, 1273, 1266, 1257, 1246, 1251, 1286, 1292]",11704,11
OP_CARRIER_FL_NUM=3791.0 + D_LONGITUDE=High + DEST_INDEX=MCO + OP_CARRIER=F9 + FL_WEEK=1 + O_LATITUDE=VeryHigh + D_WSPD=VeryHigh + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[663, 1301, 1177, 6, 932, 1287, 1282, 1246, 1251, 1272, 1267, 1292]",11703,12
ORIGIN_INDEX=LGA + OP_CARRIER=DL + O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1020, 5, 1266, 1247, 1286, 1292]",11703,6
ORIGIN_INDEX=EWR + D_TEMP=High + FL_WEEK=3 + CRS_DEP_TIME_MIN=High + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[988, 1271, 934, 1241, 1267, 1286, 1292]",11702,7
OP_CARRIER_FL_NUM=5744.0 + DEST_INDEX=LGA + FL_DAY=20 + O_WSPD=High + D_LONGITUDE=VeryHigh + D_LATITUDE=High + O_LONGITUDE=VeryHigh,"[889, 1170, 920, 1266, 1302, 1296, 1292]",11701,7
CRS_ARR_TIME_MIN=VeryLow + OP_CARRIER=AA + CRS_DEP_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1243, 2, 1242, 1286]",11701,4
OP_CARRIER_FL_NUM=5799.0 + DEST_INDEX=BWI + ORIGIN_INDEX=BOS + FL_DAY=21 + D_LATITUDE=Mid + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[894, 1113, 958, 921, 1295, 1287, 1253, 1302, 1292]",11701,9
DEST_INDEX=MCO + FL_WEEK=1 + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[1177, 932, 1241, 1246, 1267, 1292]",11700,6
OP_CARRIER_FL_NUM=3440.0 + DEST_INDEX=EWR + O_WSPD=High + O_LATITUDE=VeryHigh + D_LONGITUDE=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[600, 1136, 1266, 1287, 1302, 1296, 1242, 1292]",11700,8
OP_CARRIER=9E + FL_WEEK=2 + CRS_ELAPSED_TIME=Mid + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1, 933, 1250, 1267, 1247, 1292]",11698,6
D_WSPD=High + OP_CARRIER=B6 + CRS_ARR_TIME_MIN=Mid + FL_WEEK=3 + O_PRCP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1281, 4, 1245, 934, 1258, 1286, 1292]",11698,7
DEST_INDEX=LGA + OP_CARRIER=9E + D_LATITUDE=High,"[1170, 1, 1296]",11698,3
OP_CARRIER=B6 + CRS_ARR_TIME_MIN=Mid + FL_WEEK=3 + O_PRCP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[4, 1245, 934, 1258, 1286, 1292]",11697,6
O_LATITUDE=Mid + ORIGIN_INDEX=DCA + D_WSPD=VeryLow + D_PRCP=VeryLow + OP_CARRIER=AA + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1285, 980, 1278, 1273, 2, 1246, 1251, 1272, 1292]",11697,9
O_WSPD=High + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High,"[1266, 1241, 1247, 1286]",11697,4
DEST_INDEX=BOS + OP_CARRIER=B6 + D_LATITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[1108, 4, 1297, 1292]",11697,4
ORIGIN_INDEX=JFK + CRS_ELAPSED_TIME=Mid + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1014, 1250, 1286, 1292]",11696,4
OP_CARRIER_FL_NUM=5411.0 + D_LONGITUDE=VeryLow + FL_DAY=19 + O_PRCP=VeryLow + FL_WEEK=1 + D_WSPD=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[844, 1298, 919, 1258, 932, 1282, 1296, 1242]",11695,8
FL_DAY=16 + D_LATITUDE=VeryLow + DEST_INDEX=MCO + D_WSPD=VeryLow + FL_WEEK=1 + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[916, 1293, 1177, 1278, 932, 1241, 1246, 1251, 1272, 1267, 1292]",11695,11
D_WSPD=High + OP_CARRIER=B6 + CRS_ARR_TIME_MIN=Mid + O_PRCP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[1281, 4, 1245, 1258, 1286, 1292]",11694,6
FL_DAY=16 + DEST_INDEX=MCO + D_WSPD=VeryLow + FL_WEEK=1 + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_WSPD=VeryHigh + O_LONGITUDE=VeryHigh,"[916, 1177, 1278, 932, 1241, 1246, 1251, 1272, 1267, 1292]",11694,10
CRS_ELAPSED_TIME=Mid + O_PRCP=VeryLow + O_TEMP=VeryLow + O_LATITUDE=High,"[1250, 1258, 1253, 1286]",11693,4
OP_CARRIER_FL_NUM=3596.0 + D_TEMP=High + FL_WEEK=3 + CRS_DEP_TIME_MIN=High + D_LATITUDE=High + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[632, 1271, 934, 1241, 1296, 1267, 1286, 1292]",11693,8
OP_CARRIER=B6 + CRS_ARR_TIME_MIN=Mid + O_PRCP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[4, 1245, 1258, 1286, 1292]",11693,5
OP_CARRIER_FL_NUM=5744.0 + FL_WEEK=3 + O_WSPD=High + O_LATITUDE=VeryHigh + O_TEMP=VeryLow + D_LONGITUDE=VeryHigh + O_LONGITUDE=VeryHigh,"[889, 934, 1266, 1287, 1253, 1302, 1292]",11693,7
OP_CARRIER_FL_NUM=5411.0 + FL_DAY=19 + O_PRCP=VeryLow + O_WSPD=High + D_WSPD=VeryHigh + D_LATITUDE=High + CRS_DEP_TIME_MIN=VeryHigh,"[844, 919, 1258, 1266, 1282, 1296, 1242]",11691,7
FL_WEEK=3 + CRS_ELAPSED_TIME=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[934, 1252, 1286, 1292]",11691,4
OP_CARRIER=9E + CRS_ELAPSED_TIME=Mid + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1, 1250, 1267, 1247, 1292]",11690,5
ORIGIN_INDEX=LGA + OP_CARRIER=DL + O_WSPD=High + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1020, 5, 1266, 1247, 1242, 1292]",11690,6
D_LATITUDE=VeryLow + FL_WEEK=1 + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[1293, 932, 1272, 1292]",11690,4
OP_CARRIER=B6 + D_LATITUDE=VeryHigh + O_WSPD=VeryHigh + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[4, 1297, 1267, 1286, 1292]",11689,5
D_LONGITUDE=VeryLow + O_LATITUDE=VeryHigh + CRS_ELAPSED_TIME=VeryHigh,"[1298, 1287, 1252]",11689,3
D_LATITUDE=Mid + D_WSPD=Low + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh + O_LONGITUDE=VeryHigh,"[1295, 1279, 1247, 1242, 1292]",11688,5
ORIGIN_INDEX=LGA + O_TEMP=VeryLow + CRS_DEP_TIME_MIN=High + O_LONGITUDE=VeryHigh,"[1020, 1253, 1241, 1292]",11688,4
DEST_INDEX=IND + FL_WEEK=3 + CRS_ELAPSED_TIME=Mid + OP_CARRIER=AA + O_TEMP=VeryLow + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1159, 934, 1250, 2, 1253, 1267, 1247, 1242]",11688,8
OP_CARRIER_FL_NUM=3791.0 + D_LONGITUDE=High + DEST_INDEX=MCO + OP_CARRIER=F9 + O_LATITUDE=VeryHigh + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=High + CRS_ELAPSED_TIME=High + D_TEMP=VeryHigh + O_LONGITUDE=VeryHigh,"[663, 1301, 1177, 6, 1287, 1241, 1246, 1251, 1272, 1292]",11688,10
ORIGIN_INDEX=EWR + CRS_DEP_TIME_MIN=High + CRS_ARR_TIME_MIN=VeryHigh + O_LATITUDE=High,"[988, 1241, 1247, 1286]",11687,4
OP_CARRIER_FL_NUM=5792.0 + DEST_INDEX=CLE + ORIGIN_INDEX=LGA + CRS_ARR_TIME_MIN=Mid + FL_WEEK=1 + D_WSPD=VeryHigh + O_TEMP=VeryLow + O_LATITUDE=High + O_LONGITUDE=VeryHigh,"[893, 1119, 1020, 1245, 932, 1282, 1253, 1286, 1292]",11687,9
DEST_INDEX=IND + ORIGIN_INDEX=DFW + FL_WEEK=3 + CRS_ELAPSED_TIME=Mid + OP_CARRIER=AA + D_LATITUDE=High + O_WSPD=VeryHigh + CRS_ARR_TIME_MIN=VeryHigh + CRS_DEP_TIME_MIN=VeryHigh,"[1159, 982, 934, 1250, 2, 1296, 1267, 1247, 1242]",11687,9
